SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CC(=O)O	No_4_41;6/000000006;InChI=1S/C12H9N3O6/c16-8(17)4-5-1-2-6(3-7(5)11(18)19)9-13-10(12(20)21)15-14-9/h1-3H,4H2,(H,16,17)(H,18,19)(H,20,21)(H,13,14,15);C12H9N3O6;291;0.87;4.21;1.42;3.72;-160
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CC(=O)O	No_5_36;6/000000015;InChI=1S/C12H9N3O6/c16-8(17)4-5-1-2-6(3-7(5)11(18)19)9-13-10(12(20)21)15-14-9/h1-3H,4H2,(H,16,17)(H,18,19)(H,20,21)(H,13,14,15);C12H9N3O6;291;0.87;4.21;1.42;3.72;-160
OCC#CCNC(=O)c1ncnc(c1)c1nonc1	No_4_340;6/000000035;InChI=1S/C11H9N5O3/c17-4-2-1-3-12-11(18)9-5-8(13-7-14-9)10-6-15-19-16-10/h5-7,17H,3-4H2,(H,12,18);C11H9N5O3;259;-0.12;4.03;3.54;23.00;-160
OCC#CCNC(=O)c1ncnc(c1)c1nonc1	No_4_344;6/000000037;InChI=1S/C11H9N5O3/c17-4-2-1-3-12-11(18)9-5-8(13-7-14-9)10-6-15-19-16-10/h5-7,17H,3-4H2,(H,12,18);C11H9N5O3;259;-0.12;4.01;3.54;23.00;-160
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)O)CO	No_5_640;6/000000025;InChI=1S/C14H13NO5/c16-7-8-1-2-9(12(3-8)14(19)20)4-11-5-10(6-15-11)13(17)18/h1-3,5-6,15-16H,4,7H2,(H,17,18)(H,19,20);C14H13NO5;275;0.92;4.38;2.16;2.35;-60
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CNCCCl	No_5_611;6/000000020;InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18);C13H13N4O4Cl;324;1.72;4.26;-0.80;3.72;-180
OCC#CCNC(=O)c1ncnc(c1)c1nonc1	No_4_343;6/000000036;InChI=1S/C11H9N5O3/c17-4-2-1-3-12-11(18)9-5-8(13-7-14-9)10-6-15-19-16-10/h5-7,17H,3-4H2,(H,12,18);C11H9N5O3;259;-0.12;4.03;3.44;23.00;-160
OCC#CCNC(=O)c1ncnc(c1)c1cnccc1	No_4_171;6/000000033;InChI=1S/C14H12N4O2/c19-7-2-1-6-16-14(20)13-8-12(17-10-18-13)11-4-3-5-15-9-11/h3-5,8-10,19H,6-7H2,(H,16,20);C14H12N4O2;268;-0.38;4.17;4.35;17.60;-200
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CNCCCl	No_5_613;6/000000022;InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18);C13H13N4O4Cl;324;1.72;4.30;0.91;3.72;-180
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)O)CO	No_5_641;6/000000026;InChI=1S/C14H13NO5/c16-7-8-1-2-9(12(3-8)14(19)20)4-11-5-10(6-15-11)13(17)18/h1-3,5-6,15-16H,4,7H2,(H,17,18)(H,19,20);C14H13NO5;275;0.92;4.16;2.02;2.35;-60
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CNCCCl	No_5_610;6/000000019;InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18);C13H13N4O4Cl;324;1.72;4.36;-0.10;3.72;-160
OC(=O)C1=CO[C@@H](CO1)/C=C/CO	No_2_428;6/000000001;InChI=1S/C8H10O5/c9-3-1-2-6-4-13-7(5-12-6)8(10)11/h1-2,5-6,9H,3-4H2,(H,10,11)/b2-1+/t6-/m1/s1;C8H10O5;186;0.22;4.10;0.55;2.35;-190
OC(=O)c1cc(c2nc([nH]n2)C(=O)O)ccc1CNC	No_4_155;6/000000007;InChI=1S/C12H12N4O4/c1-13-5-7-3-2-6(4-8(7)11(17)18)9-14-10(12(19)20)16-15-9/h2-4,13H,5H2,1H3,(H,17,18)(H,19,20)(H,14,15,16);C12H12N4O4;276;0.95;4.14;0.13;3.72;-200
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CNCCCl	No_5_614;6/000000023;InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18);C13H13N4O4Cl;324;1.72;4.39;0.65;3.72;-180
OCC#CCNC(=O)c1ncnc(c1)c1cnccc1	No_4_169;6/000000031;InChI=1S/C14H12N4O2/c19-7-2-1-6-16-14(20)13-8-12(17-10-18-13)11-4-3-5-15-9-11/h3-5,8-10,19H,6-7H2,(H,16,20);C14H12N4O2;268;-0.38;4.12;4.45;17.60;-180
