SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)c1cc(O)c(c(c1)O)CO;29/000000001;InChI=1S/C8H8O5/c9-3-5-6(10)1-4(8(12)13)2-7(5)11/h1-2,9-11H,3H2,(H,12,13);C8H8O5;184;0.01;4.05;2.75;1.11;0
O=Nc1c2c([nH]/c(=[NH]/CCF)/[nH]2)ccc1CC;29/000000097;InChI=1S/C11H14FN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-;C11H13N4OF;236;1.79;4.29;5.90;17.60;-60
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCl)/[nH]2;29/000000071;InChI=1S/C8H7ClN5O3/c9-3-10-8-11-4-1-2-5(13-15)7(14(16)17)6(4)12-8/h1-2,10-12H,3H2/b10-8-;C8H6N5O3Cl;255;0.98;4.17;5.01;20.00;-40
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C)/[nH]2;29/000000134;InChI=1S/C8H8N5O3/c1-9-8-10-4-2-3-5(12-14)7(13(15)16)6(4)11-8/h2-3,9-11H,1H3/b9-8-;C8H7N5O3;221;0.57;4.10;5.67;18.30;-60
OC(=O)CC/[NH]=c\1/[nH]c2c([nH]1)c(N=O)c(cc2)CC;29/000000104;InChI=1S/C12H15N4O3/c1-2-7-3-4-8-11(10(7)16-19)15-12(14-8)13-6-5-9(17)18/h3-4,13-15H,2,5-6H2,1H3,(H,17,18)/b13-12-;C12H14N4O3;262;0.70;4.30;4.61;18.90;-120
OC(=O)C/[NH]=c\1/[nH]c2c([nH]1)c(N=O)c(cc2)CC;29/000000116;InChI=1S/C11H13N4O3/c1-2-6-3-4-7-10(9(6)15-18)14-11(13-7)12-5-8(16)17/h3-4,12-14H,2,5H2,1H3,(H,16,17)/b12-11-;C11H12N4O3;248;0.54;4.13;4.39;18.30;-120
O=Nc1c2c([nH]/c(=[NH]/CCF)/[nH]2)ccc1CC;29/000000094;InChI=1S/C11H14FN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-;C11H13N4OF;236;1.79;4.56;4.73;17.60;-100
SC/[NH]=c\1/[nH]c2c([nH]1)cc(c(c2)/[NH]=c/1\[nH]nc[nH]1)CN;29/000000026;InChI=1S/C11H16N8S/c12-3-6-1-8-9(18-10(17-8)14-5-20)2-7(6)16-11-13-4-15-19-11/h1-2,4,14,16-20H,3,5,12H2,(H,13,15)/b14-10+,16-11-;C11H14N8S;290;0.74;4.03;2.74;22.00;-40
Sc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C(F)F)/[nH]2;29/000000051;InChI=1S/C8H7F2N4O2S/c9-7(10)13-8-11-3-1-2-4(17)6(14(15)16)5(3)12-8/h1-2,7,11-13,17H/b13-8-;C8H6N4O2SF2;260;1.99;4.53;5.47;22.00;-190
Oc1c(N(=O)=O)ccc2c1[nH]c(=[NH2])[nH]2;29/000000089;InChI=1S/C7H7N4O3/c8-7-9-3-1-2-4(11(13)14)6(12)5(3)10-7/h1-2,9-10,12H,8H2;C7H6N4O3;194;0.24;4.45;5.27;14.70;-40
O=Nc1c2c([nH]/c(=[NH]/CCOC)/[nH]2)ccc1CC;29/000000145;InChI=1S/C12H17N4O2/c1-3-8-4-5-9-11(10(8)16-17)15-12(14-9)13-6-7-18-2/h4-5,13-15H,3,6-7H2,1-2H3/b13-12-;C12H16N4O2;248;0.97;4.15;5.02;16.70;-160
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000109;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.16;4.61;14.90;-140
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCl)/[nH]2;29/000000074;InChI=1S/C8H7ClN5O3/c9-3-10-8-11-4-1-2-5(13-15)7(14(16)17)6(4)12-8/h1-2,10-12H,3H2/b10-8-;C8H6N5O3Cl;255;0.98;4.34;5.04;20.00;-40
c1cc(N(=O)=O)c2c(c1)[nH]/c(=[NH]/C(F)F)/[nH]2;29/000000019;InChI=1S/C8H7F2N4O2/c9-7(10)13-8-11-4-2-1-3-5(14(15)16)6(4)12-8/h1-3,7,11-13H/b13-8-;C8H6N4O2F2;228;1.61;4.10;3.37;19.50;-190
O=Nc1c2c([nH]/c(=[NH]/CCCl)/[nH]2)ccc1CC;29/000000084;InChI=1S/C11H14ClN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-;C11H13N4OCl;252;1.92;4.29;5.16;16.60;-80
