SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
C=CCC(=O)c1c(C(=O)c2ncc([nH]2)N(=O)=O)c[nH]c1	No_4_200,3/000000020,"InChI=1S/C12H10N4O4/c1-2-3-9(17)7-4-13-5-8(7)11(18)12-14-6-10(15-12)16(19)20/h2,4-6,13H,1,3H2,(H,14,15)",C12H10N4O4,274,0.5,4.37,7.32,3.58,0,3.6398111800068227,1
c1ccc(cc1C(=C)c1onc(n1)C(=S)N)c1[nH]ncc1Br	No_4_233,27/000000041,"InChI=1S/C14H10BrN5OS/c1-7(14-18-13(12(16)22)20-21-14)8-3-2-4-9(5-8)11-10(15)6-17-19-11/h2-6H,1H2,(H2,16,22)(H,17,19)",C14H10N5OSBr,376,3.49,4.36,3.06,3.58,-129,3.304023109047799,1
Oc1cc(C(=O)Oc2ccccc2)cc(c1S)O	No_4_257,29/000000033,"InChI=1S/C13H10O4S/c14-10-6-8(7-11(15)12(10)18)13(16)17-9-4-2-1-3-5-9/h1-7,14-15,18H",C13H10O4S,262,3.09,4.36,1.35,14.1,-40,2.329494502914992,1
OC(=O)/C(=C(/C)\c1ccc(cc1)C(=O)O)/C=C/N(=O)=O	No_1_18,16/000000010,"InChI=1S/C13H11NO6/c1-8(11(13(17)18)6-7-14(19)20)9-2-4-10(5-3-9)12(15)16/h2-7H,1H3,(H,15,16)(H,17,18)/b7-6+,11-8-",C13H11NO6,277,1.75,4.36,6.44,3.58,-20,2.795239162590276,1
Oc1cc(cc(c1)I)/C=C/[C@@H](CS(=O)(=O)C)O	No_3_376,12/000000028,"InChI=1S/C11H13IO4S/c1-17(15,16)7-10(13)3-2-8-4-9(12)6-11(14)5-8/h2-6,10,13-14H,7H2,1H3/b3-2+/t10-/m0/s1",C11H13O4SI,368,2.39,4.35,2.85,2.22,-170,3.494969652759914,1
Oc1c(I)cc(c(c1)[S@@](=O)c1cc(O)cc(c1)Cl)O	No_1_49,12/000000063,"InChI=1S/C12H8ClIO4S/c13-6-1-7(15)3-8(2-6)19(18)12-5-10(16)9(14)4-11(12)17/h1-5,15-17H/t19-/m0/s1",C12H8O4SClI,410,2.66,4.34,3.54,16.2,0,3.693256086842065,1
Oc1ccc2c(c1C#C/C=C\C(=O)CO)occc2=O	No_2_152,12/000000002,"InChI=1S/C15H10O5/c16-9-10(17)3-1-2-4-11-13(18)6-5-12-14(19)7-8-20-15(11)12/h1,3,5-8,16,18H,9H2/b3-1-",C15H10O5,270,1.01,4.34,7.44,21.0,-80,3.379553432754075,1
Oc1c(c(Cl)cc(c1)P(=O)(O)O)/C=C/Cc1ccc2c(c1)cn[nH]2	No_5_233,8/000000032,"InChI=1S/C16H14ClN2O4P/c17-14-7-12(24(21,22)23)8-16(20)13(14)3-1-2-10-4-5-15-11(6-10)9-18-19-15/h1,3-9,20H,2H2,(H,18,19)(H2,21,22,23)/b3-1+",C16H14N2O4PCl,364,2.9,4.33,3.27,6.17,-100,3.194407316045128,1
Oc1c(I)cc(c(c1)[S@@](=O)c1cc(O)cc(c1)Br)O	No_1_40,12/000000057,"InChI=1S/C12H8BrIO4S/c13-6-1-7(15)3-8(2-6)19(18)12-5-10(16)9(14)4-11(12)17/h1-5,15-17H/t19-/m0/s1",C12H8O4SBrI,455,2.84,4.33,3.87,16.2,0,3.7493384397832425,1
Oc1c(I)cc(c(c1)[S@@](=O)c1ccccc1O)O	No_1_34,12/000000054,"InChI=1S/C12H9IO4S/c13-7-5-10(16)12(6-9(7)15)18(17)11-4-2-1-3-8(11)14/h1-6,14-16H/t18-/m0/s1",C12H9O4SI,376,2.04,4.33,3.36,14.5,0,3.4522032692817595,1
