SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCC1=CCC=C(O1)C(=O)N[C@H](C)C=C	No_3_205;20/000000136;InChI=1S/C11H15NO3/c1-3-8(2)12-11(14)10-6-4-5-9(7-13)15-10/h3,5-6,8,13H,1,4,7H2,2H3,(H,12,14)/t8-/m1/s1;C11H15NO3;209;0.94;4.58;1.78;3.58;-170
OCC1=CCC=C(O1)C(=O)NCC	No_3_73;20/000000131;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.16;1.28;3.58;-40
OC(=O)C1=CCC=C(O1)C(=O)NCC	No_1_643;20/000000005;InChI=1S/C9H11NO4/c1-2-10-8(11)6-4-3-5-7(14-6)9(12)13/h4-5H,2-3H2,1H3,(H,10,11)(H,12,13);C9H11NO4;197;0.65;4.14;2.45;2.48;-20
OCC1=CCC=C(O1)C(=O)N[C@H](C)C=C	No_3_210;20/000000141;InChI=1S/C11H15NO3/c1-3-8(2)12-11(14)10-6-4-5-9(7-13)15-10/h3,5-6,8,13H,1,4,7H2,2H3,(H,12,14)/t8-/m1/s1;C11H15NO3;209;0.94;4.13;0.91;3.58;-190
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C/CC	No_5_72;20/000000081;InChI=1S/C14H18O4/c1-2-3-4-7-11-8-5-6-9-12(11)18-13(10-15)14(16)17/h3-6,8-9,13,15H,2,7,10H2,1H3,(H,16,17)/b4-3+/t13-/m1/s1;C14H18O4;250;1.94;4.87;7.80;3.58;-170
OC(=O)[C@@H](CO)Oc1ccccc1CCC	No_4_72;20/000000011;InChI=1S/C12H16O4/c1-2-5-9-6-3-4-7-10(9)16-11(8-13)12(14)15/h3-4,6-7,11,13H,2,5,8H2,1H3,(H,14,15)/t11-/m1/s1;C12H16O4;224;1.55;4.12;8.87;2.22;-170
OC(=O)[C@@H](CO)Oc1ccccc1CCC	No_4_69;20/000000008;InChI=1S/C12H16O4/c1-2-5-9-6-3-4-7-10(9)16-11(8-13)12(14)15/h3-4,6-7,11,13H,2,5,8H2,1H3,(H,14,15)/t11-/m1/s1;C12H16O4;224;1.55;4.12;9.03;2.22;-170
OCC1=CCC=C(O1)C(=O)N[C@H](C)C=C	No_3_212;20/000000142;InChI=1S/C11H15NO3/c1-3-8(2)12-11(14)10-6-4-5-9(7-13)15-10/h3,5-6,8,13H,1,4,7H2,2H3,(H,12,14)/t8-/m1/s1;C11H15NO3;209;0.94;4.48;1.72;3.58;-190
OCC1=CCC=C(O1)C(=O)N[C@H](C)C=C	No_3_209;20/000000140;InChI=1S/C11H15NO3/c1-3-8(2)12-11(14)10-6-4-5-9(7-13)15-10/h3,5-6,8,13H,1,4,7H2,2H3,(H,12,14)/t8-/m1/s1;C11H15NO3;209;0.94;4.49;0.95;3.58;-190
OC(=O)[C@@H](CO)Oc1ccccc1COC(=O)CC	No_5_45;20/000000066;InChI=1S/C13H16O6/c1-2-12(15)18-8-9-5-3-4-6-10(9)19-11(7-14)13(16)17/h3-6,11,14H,2,7-8H2,1H3,(H,16,17)/t11-/m1/s1;C13H16O6;268;0.90;4.25;8.42;3.58;-170
OCC1=CCC(=C(O1)C(=O)NCCC(=O)C)C=C	No_3_155;20/000000132;InChI=1S/C13H17NO4/c1-3-10-4-5-11(8-15)18-12(10)13(17)14-7-6-9(2)16/h3,5,15H,1,4,6-8H2,2H3,(H,14,17);C13H17NO4;251;-0.29;4.14;3.44;19.00;-80
OCC1=CCC=C(O1)C(=O)NCCC(=O)C	No_2_625;20/000000045;InChI=1S/C11H15NO4/c1-8(14)5-6-12-11(15)10-4-2-3-9(7-13)16-10/h3-4,13H,2,5-7H2,1H3,(H,12,15);C11H15NO4;225;-0.39;4.09;1.27;5.09;-80
OC(=O)[C@H](c1[nH]ncc1Br)C#CCCCC	No_4_406;20/000000096;InChI=1S/C11H13BrN2O2/c1-2-3-4-5-6-8(11(15)16)10-9(12)7-13-14-10/h7-8H,2-4H2,1H3,(H,13,14)(H,15,16)/t8-/m0/s1;C11H13N2O2Br;285;2.53;4.14;4.28;2.22;-170
OCC1=CCC=C(O1)C(=O)NC(/C=C/CN)(F)F	No_3_526;20/000000146;InChI=1S/C11H14F2N2O3/c12-11(13,5-2-6-14)15-10(17)9-4-1-3-8(7-16)18-9/h2-5,16H,1,6-7,14H2,(H,15,17)/b5-2+;C11H14N2O3F2;260;-0.05;4.32;2.70;3.58;-170
OC(=O)[C@@H](CO)Oc1ccccc1C=C	No_4_169;20/000000014;InChI=1S/C11H12O4/c1-2-8-5-3-4-6-9(8)15-10(7-12)11(13)14/h2-6,10,12H,1,7H2,(H,13,14)/t10-/m1/s1;C11H12O4;208;1.23;4.05;8.55;2.22;-150
OCC1=CCC=C(O1)C(=O)NCC	No_2_246;20/000000034;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.30;2.05;3.58;-20
OCC1=CCC=C(O1)C(=O)NC(/C=C/CN)(F)F	No_3_527;20/000000147;InChI=1S/C11H14F2N2O3/c12-11(13,5-2-6-14)15-10(17)9-4-1-3-8(7-16)18-9/h2-5,16H,1,6-7,14H2,(H,15,17)/b5-2+;C11H14N2O3F2;260;-0.05;4.30;2.62;3.58;-170
OC(=O)[C@@H](CO)Oc1ccccc1CC=C	No_4_322;20/000000024;InChI=1S/C12H14O4/c1-2-5-9-6-3-4-7-10(9)16-11(8-13)12(14)15/h2-4,6-7,11,13H,1,5,8H2,(H,14,15)/t11-/m1/s1;C12H14O4;222;1.37;4.55;8.02;2.22;-150
OC(=O)[C@@H](CO)Oc1ccccc1C=C	No_5_17;20/000000054;InChI=1S/C11H12O4/c1-2-8-5-3-4-6-9(8)15-10(7-12)11(13)14/h2-6,10,12H,1,7H2,(H,13,14)/t10-/m1/s1;C11H12O4;208;1.23;4.10;8.29;2.22;-150
OC(=O)C1=CCC=C(O1)C(=O)NCC	No_2_21;20/000000028;InChI=1S/C9H11NO4/c1-2-10-8(11)6-4-3-5-7(14-6)9(12)13/h4-5H,2-3H2,1H3,(H,10,11)(H,12,13);C9H11NO4;197;0.65;4.14;2.45;2.48;-20
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C/CC	No_5_73;20/000000082;InChI=1S/C14H18O4/c1-2-3-4-7-11-8-5-6-9-12(11)18-13(10-15)14(16)17/h3-6,8-9,13,15H,2,7,10H2,1H3,(H,16,17)/b4-3+/t13-/m1/s1;C14H18O4;250;1.94;4.72;7.86;3.58;-170
OCC1=CCC=C(O1)C(=O)NCC	No_2_250;20/000000038;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.16;1.30;3.58;-40
OC(=O)[C@H](N1C=CCNC1)C#CC	No_2_430;20/000000004;InChI=1S/C9H12N2O2/c1-2-4-8(9(12)13)11-6-3-5-10-7-11/h3,6,8,10H,5,7H2,1H3,(H,12,13)/t8-/m1/s1;C9H12N2O2;180;0.55;4.14;2.17;2.22;-170
OC(=O)[C@H](c1nonc1)C#CC1=CC(=O)NC1	No_4_415;20/000000102;InChI=1S/C10H7N3O4/c14-9-3-6(4-11-9)1-2-7(10(15)16)8-5-12-17-13-8/h3,5,7H,4H2,(H,11,14)(H,15,16)/t7-/m0/s1;C10H7N3O4;233;0.12;4.01;2.10;3.58;-150
OCC1=CCC=C(O1)C(=O)NCC	No_3_39;20/000000126;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.29;1.89;3.58;-20
OC(=O)[C@@H](CO)Oc1ccccc1CC#CC	No_4_345;20/000000027;InChI=1S/C13H14O4/c1-2-3-6-10-7-4-5-8-11(10)17-12(9-14)13(15)16/h4-5,7-8,12,14H,6,9H2,1H3,(H,15,16)/t12-/m1/s1;C13H14O4;234;1.41;4.29;7.07;3.58;-170
OC(=O)[C@H](n1nnnc1)C#Cc1nnc[nH]1	No_4_697;20/000000118;InChI=1S/C7H5N7O2/c15-7(16)5(14-4-10-12-13-14)1-2-6-8-3-9-11-6/h3-5H,(H,15,16)(H,8,9,11)/t5-/m1/s1;C7H5N7O2;219;-0.33;4.45;1.62;2.22;-150
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C/CC	No_5_68;20/000000077;InChI=1S/C14H18O4/c1-2-3-4-7-11-8-5-6-9-12(11)18-13(10-15)14(16)17/h3-6,8-9,13,15H,2,7,10H2,1H3,(H,16,17)/b4-3+/t13-/m1/s1;C14H18O4;250;1.94;4.87;7.64;3.58;-170
OC(=O)[C@@H](CO)Oc1ccccc1CC#CC	No_4_193;20/000000016;InChI=1S/C13H14O4/c1-2-3-6-10-7-4-5-8-11(10)17-12(9-14)13(15)16/h4-5,7-8,12,14H,6,9H2,1H3,(H,15,16)/t12-/m1/s1;C13H14O4;234;1.41;4.14;7.43;3.58;-170
OCC1=CCC=C(O1)C(=O)NCC	No_2_244;20/000000032;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.28;2.27;3.58;-20
