SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnc([nH]1)/C=C/C1=C(C(=O)C1=O)/C=C/[C@H](C)Cl	No_1_540;1/000000001;InChI=1S/C12H10ClN3O2S/c1-6(13)2-3-7-8(11(18)10(7)17)4-5-9-14-12(19)16-15-9/h2-6H,1H3,(H2,14,15,16,19)/b3-2+,5-4+/t6-/m0/s1;C12H10N3O2SCl;295;2.33;4.02;3.36;3.58;-190
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CO)/CCC	No_4_569;3/000000307;InChI=1S/C14H17NO5/c1-2-4-10(7-8-16)5-3-6-12-11(9-17)15-13(20-12)14(18)19/h7,16-17H,2,4,6,8-9H2,1H3,(H,18,19)/b10-7-;C14H17NO5;279;0.02;4.27;6.86;23.20;-170
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\C)/CCC	No_3_347;3/000000096;InChI=1S/C14H17NO4/c1-3-6-10(4-2)7-5-8-12-11(9-16)15-13(19-12)14(17)18/h4,16H,3,6,8-9H2,1-2H3,(H,17,18)/b10-4-;C14H17NO4;263;1.06;4.64;5.44;22.00;-170
OC(=O)c1oc(c(c1)C(=O)O)N(=O)=O	No_5_5;3/000000146;InChI=1S/C6H3NO7/c8-5(9)2-1-3(6(10)11)14-4(2)7(12)13/h1H,(H,8,9)(H,10,11);C6H3NO7;201;-0.07;4.28;4.95;2.74;0
OC(=O)c1oc(c(c1)C/C=C/Cc1c(O)noc1)N(=O)=O	No_5_243;3/000000176;InChI=1S/C12H10N2O7/c15-10-8(6-20-13-10)4-2-1-3-7-5-9(12(16)17)21-11(7)14(18)19/h1-2,5-6H,3-4H2,(H,13,15)(H,16,17)/b2-1+;C12H10N2O7;294;1.38;4.08;5.53;4.16;0
OC(=O)c1coc(c1)C(=S)COC[C@H](c1c[nH]c(c1)CO)S	No_5_276;3/000000177;InChI=1S/C14H15NO5S2/c16-4-10-1-8(3-15-10)12(21)6-19-7-13(22)11-2-9(5-20-11)14(17)18/h1-3,5,12,15-16,21H,4,6-7H2,(H,17,18)/t12-/m1/s1;C14H15NO5S2;341;-0.21;4.25;8.35;5.39;-150
OC(=O)c1cc2c([nH]1)c(=O)[nH]cc2CNOCC=C	No_3_150;3/000000014;InChI=1S/C12H13N3O4/c1-2-3-19-14-6-7-5-13-11(16)10-8(7)4-9(15-10)12(17)18/h2,4-5,14-15H,1,3,6H2,(H,13,16)(H,17,18);C12H13N3O4;263;0.50;4.21;5.19;22.60;-40
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CCN)/CCC	No_4_428;3/000000268;InChI=1S/C15H20N2O4/c1-2-5-11(7-4-9-16)6-3-8-13-12(10-18)17-14(21-13)15(19)20/h7,18H,2,4-5,8-10,16H2,1H3,(H,19,20)/b11-7-;C15H20N2O4;292;0.12;4.56;7.97;24.00;-200
OC(=O)c1oc(c(n1)CO)CC/C=C/CSC	No_4_248;3/000000247;InChI=1S/C11H15NO4S/c1-17-6-4-2-3-5-9-8(7-13)12-10(16-9)11(14)15/h2,4,13H,3,5-7H2,1H3,(H,14,15)/b4-2+;C11H15NO4S;257;0.65;4.05;3.00;3.85;-20
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CNN)/CCC	No_4_313;3/000000256;InChI=1S/C14H19N3O4/c1-2-4-10(7-8-16-15)5-3-6-12-11(9-18)17-13(21-12)14(19)20/h7,16,18H,2,4,6,8-9,15H2,1H3,(H,19,20)/b10-7-;C14H19N3O4;293;-0.27;4.02;6.32;24.80;-200
OC(=O)c1nc(c(o1)C/C=C/[C@@H](C1=CCOC1)/C=C\CF)CN	No_4_373;3/000000261;InChI=1S/C16H19FN2O4/c17-7-2-4-11(12-6-8-22-10-12)3-1-5-14-13(9-18)19-15(23-14)16(20)21/h1-4,6,11H,5,7-10,18H2,(H,20,21)/b3-1+,4-2-/t11-/m1/s1;C16H19N2O4F;322;0.44;4.36;8.06;6.72;-150
