scaffold;frequency;mean_zscore;shrunk_zscore
O=c1nc(C=Cc2ccccc2)[nH]o1;2;-0.2305;-0.0827
O=C(c1ccc[nH]1)c1nc(=O)[nH]c(=O)[nH]1;2;0.306;0.1098
O=c1ccoc(-c2nnn[nH]2)c1;2;-0.5236;-0.1879
c1cncc(-n2ccnn2)c1;2;-0.6971;-0.2502
O=c1cccco1;2;-0.8543;-0.3066
O=C(c1ccccc1)C1CCCN1;2;1.1885;0.4266
c1cnc2[nH]ccc2c1;2;-0.1819;-0.0653
O=c1ccc2ccc(C=Cc3ncc[nH]3)cc2o1;2;0.0144;0.0052
O=C(c1ccccc1)C1CCNN1;2;0.7396;0.2654
O=C(c1ccccc1)C1CCON1;2;0.0548;0.0197
O=C(c1ccccc1)c1c[nH]cn1;2;0.5646;0.2026
O=c1[nH]nc(Cc2ccccc2)o1;2;-0.2375;-0.0852
O=C(c1ncc(C=Cc2ccccc2)cn1)c1ncco1;2;1.4775;0.5303
O=C(c1ncc(C=Cc2ccccc2)cn1)c1ncc[nH]1;2;1.4205;0.5098
c1cncc(-c2nnc[nH]2)c1;2;-0.6275;-0.2252
O=C(c1ccncn1)c1ncc(C=Cc2ccccc2)cn1;2;2.2264;0.7991
c1c[nH]c(-c2nnc[nH]2)c1;2;-0.8672;-0.3112
c1cnon1;2;-1.4452;-0.5187
c1cc(-c2nnc[nH]2)n[nH]1;2;-0.4754;-0.1706
O=C(c1nnco1)c1c[nH]c2ccccc12;2;-0.5856;-0.2102
O=C(CC=Cc1ccccc1)N1COC=N1;2;-0.3688;-0.1323
O=C(CCc1cccnc1)NCc1cc(-c2ccccc2)c[nH]1;2;1.4692;0.5273
O=C(CN1C=CCC1)c1cc2cc[nH]c(=O)c2[nH]1;2;0.0279;0.01
c1csnn1;2;-1.2455;-0.447
c1coc(-c2nnc[nH]2)n1;2;-0.9373;-0.3364
O=C(CNCC=Cc1ccccc1)Cc1ccno1;2;0.9994;0.3587
c1ccc(-c2ccncn2)cc1;2;-0.0343;-0.0123
O=c1[nH]nc(-c2ccc[nH]2)o1;2;-0.7215;-0.2589
O=C(Cc1ccccc1)NC1C=CCC1;2;0.6451;0.2315
O=C(Cc1ccccc1)c1ccco1;2;-0.3193;-0.1146
c1cncc(-c2cnoc2)c1;2;-0.3742;-0.1343
c1ccc(-c2ccc(Cc3cnccn3)cc2)cc1;2;1.3787;0.4948
c1ccc2scnc2c1;2;-0.755;-0.271
c1ccc(-c2c[nH]nn2)cc1;2;-0.3268;-0.1173
O=c1[nH]nc(CC=Cc2ccccc2)o1;2;0.2461;0.0883
c1cc(Cc2cnon2)on1;2;-0.9417;-0.338
c1cc(CCc2ccc3c(c2)CNNC3)[nH]n1;2;-0.0959;-0.0344
c1cc(CCc2cc[nH]n2)on1;2;-0.0409;-0.0147
c1cc(CCCNC2=NCCCO2)co1;2;-0.8404;-0.3016
c1cncc(-c2cn[nH]n2)c1;2;-0.824;-0.2957
O=C(Nc1ccccc1)C1NC=CN1;2;-0.2263;-0.0812
C1=C(c2ccccc2)CNN1;2;-0.081;-0.0291
C(=CC1CCC=N1)c1ccccc1;2;-0.1106;-0.0397
C1=C(c2ccno2)COC1;2;-0.5238;-0.188
C(#Cc1ccccc1)Cn1ccnc1;2;0.7942;0.285
C(#CCc1ccncn1)Cc1ccccc1;2;-0.226;-0.0811
C(=CNc1cccnc1)CCCc1ccccc1;2;0.5067;0.1818
C(#CCc1cc[nH]c1)CCc1nnc[nH]1;2;-0.1998;-0.0717
C(=CCc1cnon1)CCc1cocn1;2;-0.4562;-0.1637
C(=CC1=NC=CCN1)CNCc1ccn[nH]1;2;1.1258;0.404
C(=Cc1ccccc1)CC1=NOCC1;2;-0.2348;-0.0843
C(=Cc1cnon1)c1ccccc1;2;-0.6384;-0.2291
C1=CCC=C1;2;-0.3991;-0.1432
C(=CCc1ccc2ocnc2n1)Cc1cc[nH]c1;2;0.2969;0.1065
C(#Cc1ccsc1)c1ccccc1;2;0.0594;0.0213
C(=Cc1cc[nH]n1)CC1=CCNN1;2;-0.6947;-0.2493
C(=Cc1cc(C2CN2)n[nH]1)c1ccccc1;2;0.0064;0.0023
C(=Cc1ccccc1)CCC1=COC=CC1;2;-0.1069;-0.0384
C(=Cc1ccccc1)CCOc1ccccc1;2;2.1879;0.7852
C(#CC1CCN=CS1)CCc1ccccc1;2;1.7283;0.6203
C(#CCn1ccnc1)CCc1nc[nH]n1;2;-0.3193;-0.1146
C(=Cc1cccc(-n2cnnn2)c1)c1cccnc1;2;0.5495;0.1972
C(#Cc1ccccc1)CCCCn1cnnc1;2;0.1226;0.044
C(=CCc1nncs1)Cc1cnco1;2;0.2233;0.0801
C(=CC1=NN=CCN1)Cc1ccncn1;2;0.9136;0.3279
C1=CCC(CC=Cc2ccccc2)=C1;2;0.1334;0.0479
c1c[nH]c(-c2cn[nH]c2)c1;1;-0.2291;-0.0501
c1c[nH]c(-c2cnon2)c1;1;-0.8229;-0.1799
c1c[nH]c(-c2ccco2)c1;1;-0.5806;-0.127
C1=CCNC(CNCCc2ccccc2)=C1;1;-0.2341;-0.0512
C(=CNC1C=CC1)CCc1cccnc1;1;0.0146;0.0032
c1c[nH]c(CCc2cccc3oncc23)c1;1;0.3477;0.076
c1c[nH]c(CONCCCc2csnn2)n1;1;-0.8381;-0.1833
c1c[nH]c(Cc2ccc(-c3ncc[nH]3)cc2)c1;1;0.2048;0.0448
c1c[nH]c(Cc2ccno2)c1;1;-0.6103;-0.1335
c1c[nH]c(Cc2cnc[nH]2)c1;1;0.3656;0.08
C(=CCc1nnn[nH]1)Cc1ccccc1;1;-0.1966;-0.043
c1c[nH]nn1;1;-1.403;-0.3068
c1cc(-c2ccn[nH]2)ncn1;1;-0.5287;-0.1156
c1cc(-c2ccoc2)n[nH]1;1;-0.4866;-0.1064
c1cc(-c2cnco2)on1;1;-0.8271;-0.1809
C(=Cc1cc(CCN2CCCN2)n[nH]1)c1ccccc1;1;0.2964;0.0648
S=c1[nH]cc(Cc2cccc3nc[nH]c23)s1;1;0.1718;0.0376
S=c1[nH]nc(COCc2ccccc2)[nH]1;1;-0.9294;-0.2032
