SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
C(=C\1/C=Cc2c1ccc(c2)C[NH3+])/C1=NN(C(=O)C1)CCNC,17/000000031,"InChI=1S/C17H20N4O/c1-19-6-7-21-17(22)10-15(20-21)9-14-4-3-13-8-12(11-18)2-5-16(13)14/h2-5,8-9,19H,6-7,10-11,18H2,1H3/p+1/b14-9+",C17H21N4O,297,0.71,4.09,5.25,21.2,-60
OC/C(=C/Cc1onc(c1)O)/C1=CC[C@H](O1)C(=O)CBr,4/000000047,"InChI=1S/C13H14BrNO5/c14-6-10(17)12-4-3-11(19-12)8(7-16)1-2-9-5-13(18)15-20-9/h1,3,5,12,16H,2,4,6-7H2,(H,15,18)/b8-1-/t12-/m0/s1",C13H14NO5Br,344,1.21,4.09,8.39,3.58,-150
OCc1ncc2n(c1)c(nn2)C(=C)CN,29/000000001,"InChI=1S/C9H11N5O/c1-6(2-10)9-13-12-8-3-11-7(5-15)4-14(8)9/h3-4,15H,1-2,5,10H2",C9H11N5O,205,-0.01,4.09,1.36,20.8,-40
OC(=O)C1=C(NC(=O)N[C@H]1CO)C/C=C/c1nnc([nH]1)CC,30/000000008,"InChI=1S/C13H17N5O4/c1-2-9-16-10(18-17-9)5-3-4-7-11(12(20)21)8(6-19)15-13(22)14-7/h3,5,8,19H,2,4,6H2,1H3,(H,20,21)(H2,14,15,22)(H,16,17,18)/b5-3+/t8-/m0/s1",C13H17N5O4,307,0.07,4.09,8.26,5.09,-170
OCc1ncc2n(c1)c(nn2)C(=O)NCBr,29/000000009,"InChI=1S/C8H8BrN5O2/c9-4-11-8(16)7-13-12-6-1-10-5(3-15)2-14(6)7/h1-2,15H,3-4H2,(H,11,16)",C8H8N5O2Br,286,0.58,4.09,0.48,23.1,-60
Oc1noc(c1CCF)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O,4/000000089,"InChI=1S/C14H16FNO6/c15-6-5-9-12(22-16-13(9)18)4-2-10(14(19)20)11-3-1-8(7-17)21-11/h2-3,8,17H,1,4-7H2,(H,16,18)(H,19,20)/b10-2+/t8-/m0/s1",C14H15NO6F,312,0.8,4.09,9.22,5.21,-150
OC(=O)C1=CCC(=CO1)[C@H](Cc1ccc(cc1F)F)N,28/000000008,"InChI=1S/C14H13F2NO3/c15-10-3-1-8(11(16)6-10)5-12(17)9-2-4-13(14(18)19)20-7-9/h1,3-4,6-7,12H,2,5,17H2,(H,18,19)/t12-/m0/s1",C14H13NO3F2,281,1.85,4.08,4.27,3.85,-150
OCc1nc(oc1c1n[nH]c(=O)cc1)C[NH2+]CBr,15/000000144,"InChI=1S/C10H11BrN4O3/c11-5-12-3-9-13-7(4-16)10(18-9)6-1-2-8(17)15-14-6/h1-2,12,16H,3-5H2,(H,15,17)/p+1",C10H12N4O3Br,316,-0.21,4.08,1.67,23.5,-120
OC(=O)c1c(ncn1CC/C=C/C1CCCC1)C(=O)N,1/000000046,"InChI=1S/C14H19N3O3/c15-13(18)11-12(14(19)20)17(9-16-11)8-4-3-7-10-5-1-2-6-10/h3,7,9-10H,1-2,4-6,8H2,(H2,15,18)(H,19,20)/b7-3+",C14H19N3O3,277,1.11,4.08,1.9,2.35,-150
OC(=O)[C@@H](/C(=C\C)/c1nnco1)Cl,2/000000003,"InChI=1S/C7H7ClN2O3/c1-2-4(5(8)7(11)12)6-10-9-3-13-6/h2-3,5H,1H3,(H,11,12)/b4-2+/t5-/m1/s1",C7H6N2O3Cl,201,0.92,4.08,5.83,2.22,-170
Oc1cccc(c1OC(=O)CN)C(=O)[C@H]1C=C(C=CC1)CO,19/000000004,"InChI=1S/C16H17NO5/c17-8-14(20)22-16-12(5-2-6-13(16)19)15(21)11-4-1-3-10(7-11)9-18/h1-3,5-7,11,18-19H,4,8-9,17H2/t11-/m1/s1",C16H17NO5,303,-0.33,4.08,7.41,5.09,-150
OCc1nc(oc1c1n[nH]c(=O)cc1)C=C,15/000000079,"InChI=1S/C10H9N3O3/c1-2-9-11-7(5-14)10(16-9)6-3-4-8(15)13-12-6/h2-4,14H,1,5H2,(H,13,15)",C10H9N3O3,219,0.05,4.08,1.82,21.4,-120
OCNC/C=C\c1n[nH]nc1C1=CCOC1=O,9/000000003,"InChI=1S/C10H12N4O3/c15-6-11-4-1-2-8-9(13-14-12-8)7-3-5-17-10(7)16/h1-3,11,15H,4-6H2,(H,12,13,14)/b2-1-",C10H12N4O3,236,0.68,4.08,5.32,21.8,-80
c1ccc(c2c1[C@@H](NC2=O)CC#Cc1[nH]ccc1CN)Br,3/000000005,"InChI=1S/C16H14BrN3O/c17-12-4-1-3-11-14(20-16(21)15(11)12)6-2-5-13-10(9-18)7-8-19-13/h1,3-4,7-8,14,19H,6,9,18H2,(H,20,21)/t14-/m0/s1",C16H14N3OBr,344,2.39,4.07,5.57,6.45,-190
c1c(Cl)cc(c(c1)Cl)C#C[C@@H](CCn1nccc1N)N,1/000000043,"InChI=1S/C14H14Cl2N4/c15-11-2-4-13(16)10(9-11)1-3-12(17)6-8-20-14(18)5-7-19-20/h2,4-5,7,9,12H,6,8,17-18H2/t12-/m0/s1",C14H14N4Cl2,308,3.57,4.07,6.45,5.08,-150
